Cities,2010,2011,2012,2013,2014,2015,2016,latitude,longitude
"Austin-Round Rock, TX Metro Area",101092.46,101498.99,94217.23,95447.63,110180.38,125422.62,146578.13,30.2672,-97.7431
"Bakersfield, CA Metro Area",81173.61,91002.89,85394.96,82344.74,83145.45,86746.7,89322.66,35.3733,-119.0187
"Colorado Springs, CO Metro Area",97658.51,84276.49,92358.57,101989.87,93419.46,99574.61,137901.05,38.8339,-104.8214
"Dallas-Fort Worth-Arlington, TX Metro Area",109045.45,89238.08,125751.94,101134.05,106458.38,64407.72,91720.68,32.7767,-96.797
"Jacksonville, FL Metro Area",65653.85,82636.13,55827.59,55389.01,59961.78,65437.01,66490.73,30.3322,-81.6557
"Madison, WI Metro Area",76363.71,75821.91,80079.41,74325.32,77687.5,94202.74,88167.2,43.0731,-89.4012
"Memphis, TN-MS-AR Metro Area",79816.95,83384.87,86095.87,86875.24,98384.22,95116.39,94441.22,35.1495,-90.049
"Milwaukee-Waukesha-West Allis, WI Metro Area",73878.26,82764.92,80847.27,77197.47,72764.83,74015,76773.13,43.0389,-87.9065
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",91109.24,96336.14,131899.47,138864.44,136620.38,147515.02,116584.39,44.9778,-93.265
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",89964.12,96265.22,108746.44,86958.95,106168.88,122263.26,113818.7,36.1627,-86.7816
"Oklahoma City, OK Metro Area",59075,66200,63993.75,66947.01,68055.07,77200.18,65991.83,35.4676,-97.5164
"Omaha-Council Bluffs, NE-IA Metro Area",69248.03,57525.32,74573.08,64979.88,73700.26,78957.14,62507.29,41.2565,-95.9345
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",107069.62,114696.12,116696.41,117918.9,125093.95,147945.71,130100.33,39.9526,-75.1652
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",147570.79,145772.2,156168.04,160015.18,156082.39,182514.45,182378.45,37.3382,-121.886
"Seattle-Tacoma-Bellevue, WA Metro Area",104478.87,99110.31,100168.6,111425.9,104670.67,110248.2,104223.84,47.6062,-122.332
"Tampa-St. Petersburg-Clearwater, FL Metro Area",79700.58,68597.59,72479.99,68731.84,72917.17,76518.13,72844.58,27.9506,-82.4572
"Tucson, AZ Metro Area",78003.59,85543.46,82665.01,86698.41,88724.51,87434.69,92713.98,32.2226,-110.975
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",65827.59,65916.7,72045.07,71158.36,71175.4,79413.8,75765.07,36.8529,-75.978
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",91643.74,94402.49,102186.16,97717.81,104605.99,105121.63,105202.14,38.9072,-77.0369
"Wichita, KS Metro Area",42250.94,40219.9,43779.17,59113.64,57733.81,58767.74,63012.4,37.6872,-97.3301
